iter	RMSE
205	0.823189474
206	0.8208757723
207	0.819117225
208	0.8179564788
209	0.817239425
210	0.8159083276
211	0.8139295304
212	0.8117787822
213	0.8105639151
214	0.8092287815
215	0.8070590247
216	0.8051881087
217	0.8043784498
218	0.8031809175
219	0.8011331452
220	0.7993945183
221	0.7978987351
222	0.7969139086
223	0.7956672762
224	0.7946229961
225	0.7929234146
226	0.7916387074
227	0.7904461426
228	0.7893601751
229	0.7883122746
230	0.7874406735
231	0.7852830278
232	0.7830801824
233	0.781669134
234	0.7800210367
235	0.7782682418
236	0.7766653332
237	0.7747167338
238	0.7735095903
239	0.7725281189
240	0.7706579391
241	0.7694873319
242	0.768311346
243	0.7675876778
244	0.7662737696
245	0.7654167176
246	0.7632157932
247	0.7617950809
248	0.7603384914
249	0.7585626023
250	0.7565093269
251	0.7556091888
252	0.7546286968
253	0.7533640878
254	0.7512262383
255	0.7503918745
256	0.7493352735
257	0.7486572552
258	0.7466074127
259	0.7456072567
260	0.7450421793
261	0.743796687
262	0.7425628268
263	0.7417198408
264	0.7410293048
265	0.7392680252
266	0.738215073
267	0.736101811
268	0.7353026493
269	0.7343980698
270	0.7333129799
271	0.7321575888
272	0.7312337149
273	0.7301404959
274	0.7295567631
275	0.7284914752
276	0.7275652411
277	0.7269450275
278	0.7262492622
279	0.7258571894
280	0.7244078011
281	0.7239541502
282	0.7229562928
283	0.7222096741
284	0.7207936389
285	0.7191110383
286	0.7182287838
287	0.7169352415
288	0.7162453992
289	0.7155851372
290	0.7147254138
291	0.7142201626
292	0.7137580914
293	0.712865848
294	0.712343024
295	0.7114882024
296	0.7108518137
297	0.7099867925
298	0.708846027
299	0.7080889015
300	0.7072104619
301	0.7059217204
302	0.7051285191
303	0.7038344004
304	0.7034230795
305	0.7024880734
306	0.7017616351
307	0.7007692228
308	0.6997692191
309	0.6993983467
310	0.6989702761
311	0.698057007
312	0.697499646
313	0.6968817049
314	0.6962703572
315	0.695670065
316	0.6950878416
317	0.6942253321
318	0.6934943564
319	0.691991172
320	0.6910116256
321	0.6902489516
322	0.6895593263
323	0.6888960775
324	0.6878854663
325	0.6875002644
326	0.6872138418
327	0.6868033683
328	0.6860571602
329	0.6847644926
330	0.6834077837
331	0.6826016428
332	0.681710057
333	0.6807570387
334	0.680458014
335	0.6795687222
336	0.6783602738
337	0.6772450161
338	0.6765731828
339	0.6757668591
340	0.6753249118
341	0.6742131696
342	0.6732289699
343	0.6726029032
344	0.672249866
345	0.671932526
346	0.671307539
347	0.6707619239
348	0.6699431639
349	0.6693883127
350	0.668470004
351	0.6678903586
352	0.6666726539
353	0.6658350873
354	0.6652628501
355	0.6647897271
356	0.6642551857
357	0.6638991173
358	0.663071949
359	0.6623594785
360	0.6619556586
361	0.661097552
362	0.6603621304
363	0.659958499
364	0.6590568232
365	0.6584404751
366	0.6581671456
367	0.657500132
368	0.6571598309
369	0.6561043926
370	0.6554473686
371	0.6552169488
372	0.6547340702
373	0.654289953
374	0.6534522897
375	0.6528836353
376	0.6521721136
377	0.6515151075
378	0.6509201558
379	0.6502987164
380	0.6493701585
381	0.6488112225
382	0.6480349197
383	0.64733384
384	0.6468691106
385	0.6465714292
386	0.6462118434
387	0.6458947846
388	0.6453306823
389	0.645013285
390	0.6446977554
391	0.6445123605
392	0.6435361036
393	0.6432210882
394	0.6428491651
395	0.6420485293
396	0.6413923286
397	0.6407913741
398	0.6399921453
399	0.6389973282
400	0.6384495223
401	0.6381080433
402	0.6376558882
403	0.6373344912
404	0.636629378
405	0.636129983
406	0.6350399489
407	0.6345262417
408	0.6338586613
409	0.63278625
410	0.6324751648
411	0.6317494817
412	0.631321437
413	0.6311225817
414	0.6308640726
415	0.630473358
416	0.629463797
417	0.6283681671
418	0.6279676718
419	0.6277260467
420	0.6273841382
421	0.6269872648
422	0.6264577982
423	0.6259643643
424	0.6254138397
425	0.6246993597
426	0.6242059343
427	0.6237591587
428	0.6229356081
429	0.6222739332
430	0.621926625
431	0.6214582736
432	0.6211730883
433	0.6208501482
434	0.6203584308
435	0.6196199422
436	0.6193282871
437	0.6184471686
438	0.6181608401
439	0.6175160001
440	0.6173126941
441	0.6169493549
442	0.6167405131
443	0.6165809146
444	0.6159804181
445	0.6157419371
446	0.6149097258
447	0.6143436816
448	0.6137393567
449	0.6130438915
450	0.6125954943
451	0.6120634455
452	0.6113451957
453	0.6108828599
454	0.610343892
455	0.6098779238
456	0.6093629348
457	0.6090629736
458	0.6084761907
459	0.6074883535
460	0.6070273279
461	0.6063037321
462	0.6059274423
463	0.6054641251
464	0.6046636088
465	0.6038646566
466	0.6032352474
467	0.6029038522
468	0.6021858895
469	0.6011108883
470	0.6006408727
471	0.600270114
472	0.5996370285
473	0.5992304708
474	0.5983999707
475	0.5978702982
476	0.5975178319
477	0.5969103172
478	0.5962680029
479	0.5958835431
480	0.5953043082
481	0.5951215104
482	0.594824486
483	0.5942364791
484	0.5938730931
485	0.5934678372
486	0.5929496709
487	0.5926944659
488	0.5924483362
489	0.592080916
490	0.5917547304
491	0.5914455613
492	0.5911065787
493	0.5908971504
494	0.5900860603
495	0.5898148445
496	0.5896650397
497	0.589521297
498	0.5893118588
499	0.5890492823
500	0.5885718962
501	0.5882487208
502	0.5881133225
503	0.5874722716
504	0.5866159368
505	0.5856520395
506	0.5852184236
507	0.5848268195
508	0.5845650214
509	0.5843785813
510	0.5840916677
511	0.5838087197
512	0.5833840236
513	0.582995783
514	0.582837615
515	0.5824791101
516	0.5821162751
517	0.5820321126
518	0.5815458149
519	0.5811364786
520	0.5806597273
521	0.5802483444
522	0.579885392
523	0.5793608427
524	0.5790335052
525	0.5788378081
526	0.578516932
527	0.5778274107
528	0.5776176027
529	0.5773442643
530	0.5768503345
531	0.5765601685
532	0.5760427811
533	0.5756381816
534	0.5753977684
535	0.5752819957
536	0.5751505437
537	0.5746776072
538	0.5742990457
539	0.5740445526
540	0.5734960351
541	0.5729615948
542	0.5728280279
543	0.5722670577
544	0.5720969457
545	0.5717450175
546	0.5714393602
547	0.5711073474
548	0.5708241371
549	0.5706170255
550	0.5703741641
551	0.5702430061
552	0.5698496021
553	0.5696866615
554	0.5692627891
555	0.5690477041
556	0.5685361517
557	0.5682668126
558	0.5680021898
559	0.5672997722
560	0.5670308763
561	0.566721803
562	0.5662380175
563	0.565824112
564	0.5653898339
565	0.5651068588
566	0.5645927774
567	0.5643629554
568	0.5640753858
569	0.5637041868
570	0.5634449577
571	0.5632662088
572	0.5629369952
573	0.5622888533
574	0.5618825159
575	0.5612906773
576	0.5608609186
577	0.5605439492
578	0.5601565976
579	0.5599705852
580	0.5597756932
581	0.5593336669
582	0.5591587887
583	0.5587618358
584	0.5584150223
585	0.5579689695
586	0.5578391615
587	0.5576510761
588	0.5574148716
589	0.5567085774
590	0.5562015612
591	0.555759685
592	0.5556098055
593	0.5553578736
594	0.5550090248
595	0.5548578762
596	0.5547427655
597	0.5543501685
598	0.5539705345
599	0.5538299704
600	0.5537038466
601	0.5534160766
602	0.553258566
603	0.5528513127
604	0.5524118129
605	0.5520785004
606	0.5516427186
607	0.55115128
608	0.5509203031
609	0.5505682265
610	0.5504503455
611	0.5503159477
612	0.550128309
613	0.5499022586
614	0.5495620107
615	0.5493984766
616	0.5492114049
617	0.549103193
618	0.5489462303
619	0.5488388644
620	0.548683239
621	0.5482802086
622	0.5479416441
623	0.5478124875
624	0.5475561397
625	0.5473620095
626	0.5469060441
627	0.5467675722
628	0.546574041
629	0.546434975
630	0.5463182497
631	0.5460601548
632	0.5458767733
633	0.5456219192
634	0.545446406
635	0.5450411101
636	0.5446335642
637	0.543945125
638	0.543847789
639	0.5435796998
640	0.543317885
641	0.5429978488
642	0.5424743472
643	0.5423180049
644	0.5421047118
645	0.5419474704
646	0.5417740814
647	0.5415460208
648	0.5412650354
649	0.5409961412
650	0.5407104666
651	0.5404997715
652	0.5404149118
653	0.5403330745
654	0.5400117899
655	0.5397561636
656	0.5395966077
657	0.5394414785
658	0.5392248018
659	0.5389208749
660	0.5387867105
661	0.5384507148
662	0.5382616557
663	0.5379312102
664	0.5378007236
665	0.5375534749
666	0.5374614234
667	0.5372114243
668	0.5371043494
669	0.5368953305
670	0.5367818625
671	0.5365541415
672	0.5364667007
673	0.5359248817
674	0.5357295794
675	0.5354500692
676	0.5353130452
677	0.534998759
678	0.5346750852
679	0.5344519843
680	0.5343202437
681	0.5340661075
682	0.5339566144
683	0.533828073
684	0.5337544533
685	0.5334842209
686	0.5333485429
687	0.5330213286
688	0.532861561
689	0.5328003141
690	0.5325039609
691	0.5321412818
692	0.5319827632
693	0.5318715037
694	0.531788555
695	0.5317036427
696	0.5314367298
697	0.5312355878
698	0.5310265387
699	0.5308083117
700	0.5306385309
701	0.5303817392
702	0.529933176
703	0.5297795207
704	0.5294539416
705	0.5292039381
706	0.52898542
707	0.5288100158
708	0.5286321029
709	0.5285393485
710	0.5283738545
711	0.5282680662
712	0.5281337064
713	0.5280478841
714	0.5279285308
715	0.5278075268
716	0.5277024442
717	0.5275922238
718	0.5275188895
719	0.5272625842
720	0.5271624197
721	0.5270042555
722	0.5267489021
723	0.5264830312
724	0.5263480291
725	0.5261889385
726	0.5257554946
727	0.5255499694
728	0.5254604111
729	0.5253644224
730	0.5252804104
731	0.5251392723
732	0.524875256
733	0.5248213084
734	0.524683399
735	0.5245888144
736	0.524511075
737	0.5243728804
738	0.5242974097
739	0.5241538554
740	0.5237417593
741	0.523646696
742	0.5234540238
743	0.5233780884
744	0.5232768737
745	0.5230521593
746	0.5229133514
747	0.5227129709
748	0.5224539246
749	0.5223891096
750	0.5223198475
751	0.5221563908
752	0.5219594668
753	0.5218803995
754	0.5216604367
755	0.5215184604
756	0.5214252081
757	0.5211918841
758	0.5210253495
759	0.5209250832
760	0.5207634862
761	0.5204859585
762	0.5203440627
763	0.520162967
764	0.5199582331
765	0.5197548382
766	0.5195717778
767	0.5193626123
768	0.5192719353
769	0.5191984215
770	0.5190978181
771	0.518948604
772	0.5185559105
773	0.5184486911
774	0.5183766297
775	0.5182222988
776	0.5179650097
777	0.5177764543
778	0.517522186
779	0.5173494041
780	0.5171834144
781	0.5171169778
782	0.516900454
783	0.5167845079
784	0.5166140225
785	0.5162974549
786	0.5160914551
787	0.5160301914
788	0.5159025114
789	0.5158352644
790	0.5157099882
791	0.5156053421
792	0.5155183297
793	0.5154137507
794	0.5149875613
795	0.514770804
796	0.514613695
797	0.5145487327
798	0.5144270788
799	0.5142902995
800	0.5142319197
801	0.5139209804
802	0.5136398162
803	0.5135560324
804	0.5133374373
805	0.5131192689
806	0.5130177834
807	0.5127836522
808	0.5126639749
809	0.5126110354
810	0.5125307751
811	0.5124022034
812	0.5122804181
813	0.5120248206
814	0.5119579144
815	0.5116880481
816	0.5116095348
817	0.5114364557
818	0.5113399071
819	0.5111030228
820	0.5108672383
821	0.5106470561
822	0.5105500638
823	0.5104292214
824	0.5103290002
825	0.510181026
826	0.5099615118
827	0.5096501668
828	0.5094168774
829	0.5092981982
830	0.5092397839
831	0.5091247024
832	0.5089980175
833	0.5089069091
834	0.5087115808
835	0.5085531301
836	0.5084205464
837	0.5083149076
838	0.5082336887
839	0.5081354393
840	0.5080331932
841	0.5079321584
842	0.5077512951
843	0.5074605236
844	0.5072071237
845	0.5071295363
846	0.5070702194
847	0.506855708
848	0.5067895362
849	0.5066594688
850	0.5064664963
851	0.5063745651
852	0.5061143615
853	0.5060340919
854	0.5059538111
855	0.5058808687
856	0.505765567
857	0.5056645188
858	0.5056101741
859	0.5055167861
860	0.5054467692
861	0.5053782155
862	0.5052741406
863	0.5051593018
864	0.5049512905
865	0.5048695715
866	0.5046642614
867	0.5044921955
868	0.5044076749
869	0.5043540651
870	0.5042299836
871	0.5040195184
872	0.5039526704
873	0.5037231374
874	0.5035171727
875	0.5034309696
876	0.5032564759
877	0.5032060228
878	0.5030913342
879	0.502976094
880	0.5028729783
881	0.5028124667
882	0.5027465839
883	0.5026463481
884	0.502599482
885	0.5022703898
886	0.502083583
887	0.5019194401
888	0.5018681985
889	0.501802147
890	0.5015809746
891	0.5014507711
892	0.5012828028
893	0.501018342
894	0.5009636945
895	0.5008300567
896	0.5007674926
897	0.5006874599
898	0.5004995389
899	0.5003240273
900	0.5001601434
901	0.4999709085
902	0.4998363505
903	0.4996282413
904	0.499467209
905	0.4993831609
906	0.499319223
907	0.4992532902
908	0.4991677225
909	0.4991246449
910	0.4990300816
911	0.4989125496
912	0.4988502241
913	0.4987476672
914	0.4986478451
915	0.4985483359
916	0.4984886753
917	0.4984442663
918	0.4982184472
919	0.4980874847
920	0.4979367061
921	0.4978744683
922	0.4977036002
923	0.4976598876
924	0.4975955439
925	0.4975004945
926	0.4973358062
927	0.4972254675
928	0.4971176959
929	0.4970155567
930	0.4968425624
931	0.4967514793
932	0.496557849
933	0.4963784587
934	0.4961206461
935	0.4959573029
936	0.4958213922
937	0.4957036596
938	0.495600411
939	0.4954933873
940	0.4954355188
941	0.4953894769
942	0.4952168005
943	0.4951603392
944	0.4948659378
945	0.4947764387
946	0.494703045
947	0.4944913298
948	0.4943537465
949	0.4942178843
950	0.4941586771
951	0.4940963875
952	0.4939757274
953	0.4938551019
954	0.4937358891
955	0.4936024072
956	0.4935622381
957	0.4934040996
958	0.4932069656
959	0.4930023678
960	0.4929604226
961	0.4928078343
962	0.4926885566
963	0.4925971951
964	0.4924517841
965	0.492380802
966	0.4922394536
967	0.4920143344
968	0.4918608978
969	0.4917736176
970	0.4917102519
971	0.4914057823
972	0.491273456
973	0.4911883337
974	0.4910370257
975	0.4909200884
976	0.4908539348
977	0.4907708799
978	0.4907166023
979	0.4905803111
980	0.4904792488
981	0.4903535667
982	0.4902464613
983	0.490154473
984	0.4900955752
985	0.4900504132
986	0.4899310582
987	0.4898534025
988	0.4897845259
989	0.4897457482
990	0.4896377527
991	0.4894680482
992	0.4894236033
993	0.4893772443
994	0.4892664951
995	0.4890259398
996	0.4888281146
997	0.4887642065
998	0.4885207408
999	0.4883765196
